name,lat,lon,img_path
New_England,44.2056,-80.3064,images/New_England.png
Mexico,19.4326,-109.1332,images/Mexico.png
Chicago,41.8781,-97.6298,images/Chicago.png
Alaska,61.2174,-140.8631,images/Alaska.png
Japan,35.6528,120.8395,images/Japan.png
Algeria,26.7372,-1.0865,images/Algerie.png
Ireland,53.3501,-6.2662,images/Travel_Ireland.png
Italy,41.9028,12.4964,images/Italia.png
Portugal,38.7369,-9.1427,images/Portugal.png
Germany,54.52,13.4049,images/Germany.png
Tasmania,-32.8806,160.13,images/Tasmania.png
Peru,-2.0464,-87.0428,images/Peru.png
Java_Indonesia,1.2088,106.8456,images/Java.png
Austria,48.2082,21.3738,images/Austria.png
Auvergne,45.7831,3.0824,images/Auvergne.png
India,20.6139,77.209,images/See_India.png
Egypt,26.0444,31.2357,images/La_route_d'égypte.png
Australia,-23.2809,143.325,images/Trans-australian_railway.png
Pacific_NW,52.0767,-133.8302,images/Pacific_NW.png
USSR,66.25,94.15,images/USSR.png
